product,v_title,v_videoId,v_channelTitle,v_publishTime,v_description,v_thumbnail,c_id,c_parentId,c_author,c_published_at,c_updated_at,c_like_count,c_text
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgxEljThRhJ53cKA4dd4AaABAg,,sisterstina3700,2020-08-23T15:32:07Z,2020-08-23T15:32:07Z,13155,I've never seen a movie like this. Nothing scary about it. Just really fucking disturbing. Just one long sweaty fever dream. I don't even know if I like it or hate it lmfao
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,UgxwLlwi-hfDIF9PC6x4AaABAg,,sukhmanikaurtoor9581,2020-09-27T10:53:50Z,2021-01-04T13:34:38Z,13137,"This is like the most colorful horror movie ever
Edit: I'm telling my mom I'm famous, thanks for blowing this up y'all"
Midsommar (2019) Movie,Midsommar (2019) KILL COUNT,uW9fbnLgkpI,Dead Meat,2021-06-18T13:00:33Z,MERCH: http://deadmeatstore.com Buy Midsommar on... DVD ▻ https://amzn.to/3qin2ny BluRay ▻ https://amzn.to/2SmcMOE ...,https://i.ytimg.com/vi/uW9fbnLgkpI/default.jpg,Ugxb4Y8b2jfc0w8OY8t4AaABAg,,MANJYOMETHUNDER111,2021-07-14T02:18:19Z,2021-07-14T03:09:29Z,12964,"The large amount of people I've talked to who don't understand that Christian was raped is deeply, DEEPLY disturbing to me."
Midsommar (2019) Movie,The Horror of MIDSOMMAR Explained,uC_y4CC2VRM,FilmComicsExplained,2020-10-25T14:03:44Z,"Written and Directed by Ari Aster, Midsommar follows a group of friends who travel to Sweden for a festival that occurs once every ...",https://i.ytimg.com/vi/uC_y4CC2VRM/default.jpg,UgzhxuoTn4qsBFcfHe94AaABAg,,cranberryjuice960,2021-07-23T04:41:29Z,2021-07-23T04:41:29Z,12956,imagine being so unlucky that you stumble on a thing that happens every 90 years
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,UgwCWuNDGT0CRKzyWgJ4AaABAg,,epsmile8202,2020-04-03T11:27:48Z,2020-04-03T11:27:48Z,12623,"As a Swede, it's so funny to see that they turned a happy Swedish tradition into some cult shit lol"
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,Ugwt8yk86e2Ctvr6zSd4AaABAg,,shutinpaladin6811,2019-06-19T17:23:17Z,2019-06-19T17:23:17Z,12516,"Best of luck to the lone black guy. We're rooting for ya to survive this, buddy. '^_^"
Midsommar (2019) Movie,Midsommar Deleted Scene (Director&#39;s Cut),TScihXPhQGk,Shelly's Creation,2021-05-17T18:13:35Z,"FlorencePugh #AriAster Film: Midsommar (2019) Director: Ari Aster Cast: Florence Pugh, Jack Reynor NO COPYRIGHT ...",https://i.ytimg.com/vi/TScihXPhQGk/default.jpg,Ugzxebm9yvpu8ytFzuN4AaABAg,,sunflowersentimientos,2021-06-29T04:10:42Z,2021-06-29T04:10:42Z,12413,This so fucking accurate for how dating a narcissist feels….it’s painful. Giving kindness is seen as creating a debt.
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,UgxyycccD7ie3XYDh_14AaABAg,,denverdean2663,2021-07-18T14:23:43Z,2021-07-18T14:23:43Z,11836,"Other horror movies: 

Midsommar: "
Midsommar (2019) Movie,That Midsommar scene but it&#39;s even more disturbing,SCDLBLPOzj8,Pepe Rico Piqué,2020-04-06T16:50:55Z,I'm shit doing masks. Watch with headphones for an enhanced horror experience. Watch my The Lighthouse Spongebob video ...,https://i.ytimg.com/vi/SCDLBLPOzj8/default.jpg,UgwVePViRyrGnB2udbp4AaABAg,,MarinaAndTheDevil,2020-11-15T10:40:46Z,2020-11-15T10:40:46Z,11064,The sound design on this video.... masterpiece
Midsommar (2019) Movie,Midsommar Deleted Scene (Director&#39;s Cut),TScihXPhQGk,Shelly's Creation,2021-05-17T18:13:35Z,"FlorencePugh #AriAster Film: Midsommar (2019) Director: Ari Aster Cast: Florence Pugh, Jack Reynor NO COPYRIGHT ...",https://i.ytimg.com/vi/TScihXPhQGk/default.jpg,Ugwjp8hjQm8sYbXl6j54AaABAg,,famicomdemon,2021-05-21T10:00:47Z,2021-05-21T10:00:47Z,11016,wish they would of kept this in the movie it shows how Dani and Christian interact in a toxic relationship and it makes it even more powerful for the ending
